Countries,Type,Amount 
Estonia,Balance2016,-30456
Guatemala,Balance2017,-30407
Lao PDR,Balance2020,-30293
Egypt,Balance2016,-30002
El Salvador,Balance2020,-29440
Azerbaijan,Balance2019,-29406
Estonia,Balance2019,-29111
Tunisia,Balance2018,-29109
Cambodia,Balance2017,-29060
Philippines,Balance2016,-28936
Namibia,Balance2020,-28838
Thailand,Balance2020,-28827
Bangladesh,Balance2020,-28321
Jordan,Balance2020,-28144
Botswana,Balance2019,-27923
Lebanon,Balance2019,-27906
Andorra,Balance2019,-27827
Botswana,Balance2020,-27655
Paraguay,Balance2018,-27648
Serbia,Balance2016,-27603
Azerbaijan,Balance2018,-27223
Guatemala,Balance2016,-26690
Honduras,Balance2019,-26436
Paraguay,Balance2017,-26290
Azerbaijan,Balance2020,-26216
Honduras,Balance2016,-25995
Guinea,Balance2019,-25937
Bangladesh,Balance2017,-25886
Tunisia,Balance2019,-25703
Egypt,Balance2018,-25506
Andorra,Balance2018,-25483
Paraguay,Balance2019,-25417
Honduras,Balance2017,-25410
Libya,Balance2016,-24972
Tunisia,Balance2020,-24934
Honduras,Balance2018,-24822
Guinea,Balance2018,-24678
Andorra,Balance2016,-24651
Azerbaijan,Balance2017,-24570
Jordan,Balance2017,-24368
Belarus,Balance2018,-24208
Dominican Republic,Balance2016,-24120
Georgia,Balance2017,-24068
Andorra,Balance2020,-23817
Bolivia,Balance2020,-23743
Jordan,Balance2016,-23717
Andorra,Balance2017,-23698
Mongolia,Balance2020,-23605
Bangladesh,Balance2016,-23553
Libya,Balance2020,-23482
Georgia,Balance2018,-23195
Belarus,Balance2019,-23036
Nicaragua,Balance2017,-23027
Botswana,Balance2018,-22939
Nicaragua,Balance2016,-22902
Botswana,Balance2016,-22465
Estonia,Balance2018,-22268
Bulgaria,Balance2016,-22040
Nepal,Balance2020,-21957
Moldova,Balance2019,-21621
Cambodia,Balance2016,-21381
Spain,Balance2018,-21323
Kyrgyzstan,Balance2018,-21129
Guinea,Balance2017,-21112
Netherlands,Balance2017,-21087
Botswana,Balance2017,-21064
Georgia,Balance2016,-20957
Belarus,Balance2017,-20950
Jordan,Balance2018,-20783
Azerbaijan,Balance2016,-20254
