Year,Location,MinTemp,MaxTemp,Rainfall,Humidity,Pressure,WindSpeed
2014,Bairnsdale East,2.4,16.2,0,76,1020.2,4
2014,Bairnsdale East,4.1,17.6,0,61,1016.9,19
2014,Bairnsdale East,4.8,16.8,0,25,1005.5,20
2014,Bairnsdale East,5.4,13.3,0,63,1014.3,20
2014,Bairnsdale East,2.1,16.2,0,70,1023.3,2
2014,Bairnsdale East,3.4,16.7,0,49,1024.4,9
2014,Bairnsdale East,0.6,14.3,0,77,1029.6,9
2014,Bairnsdale East,2.1,13.6,0,60,1029.5,19
2014,Bairnsdale East,6.8,17.7,0,54,1020.2,20
2014,Bairnsdale East,7.6,15,0.8,81,1017.1,17
2014,Bairnsdale East,4.7,16.1,0,60,1018.6,17
2014,Bairnsdale East,4.3,13.5,0.2,76,1023.9,26
2014,Bairnsdale East,-0.1,14.4,0,79,1027.8,11
2014,Bairnsdale East,1.4,15.2,0,76,1027.8,9
2014,Bairnsdale East,4.9,18.6,0,70,1024.3,13
2014,Bairnsdale East,6.7,18.6,0,72,1024,6
2014,Bairnsdale East,6.3,18.5,0,67,1023.3,15
2014,Bairnsdale East,9.6,22.5,0,62,1018.3,15
2014,Bairnsdale East,8.9,22.2,0.2,62,1021.6,6
2014,Bairnsdale East,0,0,0,0,0,0
2014,Bairnsdale East,0,18.9,0,0,0,0
2014,Bairnsdale East,5.2,20.6,0,45,1023.9,11
2014,Bairnsdale East,6.7,22.9,0,27,1022.4,11
2014,Bairnsdale East,8.1,23.1,0,37,1023.1,6
2014,Bairnsdale East,8.6,23.9,0,31,1017.4,13
2014,Bairnsdale East,8.5,14.7,0,50,1015.4,24
2014,Bairnsdale East,0,13.7,0,0,0,0
2014,Bairnsdale East,-0.8,16.4,0,63,0,9
2014,Bairnsdale East,4.6,19.3,0,64,1031.2,13
2014,Bairnsdale East,7.4,20.1,0,67,1032.9,11
2014,Bairnsdale East,5.3,19.9,0,46,1034.1,11
2014,Bairnsdale East,4.3,18.6,0,49,1031.8,9
2014,Bairnsdale East,2.9,18.5,0,53,1031.6,11
2014,Bairnsdale East,5,20.3,0,52,1030.6,9
2014,Bairnsdale East,6.7,21.6,0,28,1026.1,9
2014,Bairnsdale East,3,13.4,0,55,1028.1,13
2014,Bairnsdale East,-0.2,15.2,0,51,0,11
2014,Bairnsdale East,5.8,17.4,0,61,1029.1,24
2014,Bairnsdale East,7,20.1,0,56,1031.2,20
2014,Bairnsdale East,9.9,20.6,0,50,1026.2,24
2014,Bairnsdale East,11.5,13.1,3.8,95,1015.8,22
2014,Bairnsdale East,7.2,12.7,27.4,97,1007.4,20
2014,Bairnsdale East,7.3,14.3,1.8,93,1015.5,20
2014,Bairnsdale East,7.4,16.6,0,83,1020.7,17
2014,Bairnsdale East,6.9,18.8,0,63,1024.4,11
2014,Bairnsdale East,5.5,18.5,0,68,1026.2,20
2014,Bairnsdale East,8.2,20.2,0,64,1027.7,20
2014,Bairnsdale East,8.9,21.8,0,67,1028.3,17
2014,Bairnsdale East,8.9,22.2,0,0,0,0
2014,Bairnsdale East,5.7,18.1,0,0,0,0
2014,Bairnsdale East,7.3,18.9,0.4,0,0,0
2014,Bairnsdale East,6.6,20.4,0.6,66,1023.7,22
2014,Bairnsdale East,6.9,19.5,0,50,1027.3,15
2014,Bairnsdale East,6.4,21.4,0,56,1028.4,11
2014,Bairnsdale East,7,21.9,0,46,1025.6,15
2014,Bairnsdale East,7.2,23.1,0,55,1021.7,11
2014,Bairnsdale East,10.5,25.4,0,37,1016.9,17
2014,Bairnsdale East,9.8,15.6,1.4,77,1017.3,24
2014,Bairnsdale East,3.3,16.5,0,61,1021.6,15
2014,Bairnsdale East,4.3,17.5,0,46,1018.6,6
2014,Bairnsdale East,7.7,19.8,0,38,1021.1,20
2014,Bairnsdale East,7.2,20.1,0,49,1027.1,30
2014,Bairnsdale East,10.7,22.4,0,47,1026,28
2014,Bairnsdale East,8.5,23.9,0,48,1023.9,22
2014,Bairnsdale East,14.1,27,0,55,1014.4,20
2014,Bairnsdale East,10.5,20.3,1.4,59,1016.5,22
2014,Bairnsdale East,7.4,23.6,0,33,1020.6,4
2014,Bairnsdale East,8.7,21.9,0,39,0,13
2014,Bairnsdale East,6.4,23.5,0,40,0,7
2014,Bairnsdale East,7.6,26.2,0,29,1021.3,9
2014,Bairnsdale East,10.4,27.8,0,33,0,26
2014,Bairnsdale East,11.3,20.9,0,55,0,22
2014,Bairnsdale East,7.9,21.3,0,42,0,13
2014,Bairnsdale East,5.5,19.3,0,39,0,13
2014,Bairnsdale East,7.8,17.8,0,0,0,0
2014,Bairnsdale East,5.5,21.5,0,30,1025.1,17
2014,Bairnsdale East,7.6,24.2,0,38,1027.2,19
2014,Bairnsdale East,9.9,23.6,0,37,1028.7,13
2014,Bairnsdale East,11.2,25.9,0,33,1026.4,19
2014,Bairnsdale East,16.2,23.2,0,52,1018.4,30
2014,Bairnsdale East,12.6,21.5,13.6,92,1015.7,24
2014,Bairnsdale East,8.5,21.3,0,68,1020.1,6
2014,Bairnsdale East,8.1,24.3,0,46,1022.6,13
2014,Bairnsdale East,11.9,27.8,0,36,1021.6,17
2014,Bairnsdale East,14,31.9,0,22,1016.6,15
2014,Bairnsdale East,17.2,32.4,0,17,1015.5,11
2014,Bairnsdale East,11.3,20.1,0,31,1022.7,24
2014,Bairnsdale East,7,23.6,0,30,1024,20
2014,Bairnsdale East,9.9,26.8,0,37,1020.7,13
2014,Bairnsdale East,11.1,30.8,0,22,1018.4,13
2014,Bairnsdale East,15,34.1,0,31,1017.7,11
2014,Bairnsdale East,18.2,34.8,0,28,1014.9,19
2014,Bairnsdale East,17.3,25.3,0.4,50,1013,26
2014,Bairnsdale East,9.1,24.8,0,38,1020.5,15
2014,Bairnsdale East,10.4,28,0,37,1022.4,19
2014,Bairnsdale East,12.3,30.9,0,23,1016.1,17
2014,Bairnsdale East,16,33.5,0,34,1013.9,13
2014,Bairnsdale East,20.1,34.9,0,34,1013,22
2014,Bairnsdale East,17.7,24.1,0,44,1008.3,33
2014,Bairnsdale East,8,15.3,0,40,1016.1,28
2014,Bairnsdale East,5.7,21.6,0,53,1019.7,15
2014,Bairnsdale East,8,23.7,0,27,1021,7
2014,Bairnsdale East,8.3,25.2,0,30,1024.2,15
2014,Bairnsdale East,11.5,28.1,0,40,1026.3,26
2014,Bairnsdale East,15.3,32.6,0,22,1025.4,17
2014,Bairnsdale East,18.7,34.9,0,22,1023.6,13
2014,Bairnsdale East,17,35.2,0,46,1024.3,30
2014,Bairnsdale East,17.8,35.2,0,40,1021.3,28
2014,Bairnsdale East,19.7,36,0,27,1018.1,15
2014,Bairnsdale East,21.3,38.5,0,17,1014.6,17
2014,Bairnsdale East,21,39.9,0,12,1016,17
2014,Bairnsdale East,20.2,38.3,0,16,1012.5,11
2014,Bairnsdale East,22.6,32,0,16,1010.4,15
2014,Bairnsdale East,11.1,26.6,0,29,1018,13
2014,Bairnsdale East,13.7,29.9,0,34,1018.8,13
2014,Bairnsdale East,16.5,34.4,0,21,1016,15
2014,Bairnsdale East,20.7,36.7,0,12,1011.5,26
2014,Bairnsdale East,20.1,30.9,0,52,1005,13
2014,Bairnsdale East,10.6,23.7,0,27,1021.9,20
2014,Bairnsdale East,10.8,28.6,0,26,1023.2,24
2014,Bairnsdale East,14.2,32.2,0,22,1018.5,17
2014,Bairnsdale East,17.4,32.4,0,20,1014.7,15
2014,Bairnsdale East,13.1,29.8,0,20,1015.7,15
2014,Bairnsdale East,16.6,33.2,0,12,1017.5,17
2014,Bairnsdale East,18.5,36.3,0,20,1017.9,19
2014,Bairnsdale East,20.4,38.5,0,28,1016.6,9
2014,Bairnsdale East,18.2,32.5,0,20,1017.6,22
2014,Bairnsdale East,16.4,33,0,21,1016.9,15
2014,Bairnsdale East,18.7,35.1,0,37,1014.8,15
2014,Bairnsdale East,19.8,38.3,0,9,1013.5,15
2014,Bairnsdale East,25,43.4,0,21,1010.4,24
2014,Bairnsdale East,28.1,37,0,26,1008.8,11
2014,Bairnsdale East,17,24.3,2.8,62,1011.1,31
2014,Bairnsdale East,11.1,28,0,38,1016.7,11
2014,Bairnsdale East,14.4,29.9,0,27,1018.4,15
2014,Bairnsdale East,17,33.9,0,17,1018.1,17
2014,Bairnsdale East,19.6,37.9,0,15,1012.1,19
2014,Bairnsdale East,20.3,35.3,0,33,1010.6,13
2014,Bairnsdale East,21.7,40.3,0,19,1011.6,19
2014,Bairnsdale East,27.4,45.2,0,11,1010,17
2014,Bairnsdale East,27.8,35.3,0,28,1010.8,9
2014,Bairnsdale East,16.8,28.6,0,54,1017.9,17
2014,Bairnsdale East,13.7,30.9,0,23,1018.5,19
2014,Bairnsdale East,15.9,32.2,0,26,1018.6,13
2014,Bairnsdale East,19.1,34.1,0,44,1017.1,28
2014,Bairnsdale East,23.8,36.6,0,41,1013.5,31
2014,Bairnsdale East,19.4,34.5,0.4,45,1011,17
2014,Bairnsdale East,20.1,35.3,0.2,54,1008.9,17
2014,Bairnsdale East,22.3,38.7,0.2,41,1009.7,20
2014,Bairnsdale East,22.8,34.1,3.6,43,1010.4,20
2014,Bairnsdale East,19.8,32.1,5.8,74,1011.1,20
2014,Bairnsdale East,17.5,33.7,0,64,1007.6,17
2014,Bairnsdale East,18.1,30.9,17.2,64,1003.8,2
2014,Bairnsdale East,16.7,32.6,0,50,1004.2,9
2014,Bairnsdale East,18.2,34.8,0,28,1007.7,6
2014,Bairnsdale East,21.6,38.9,0,21,1011,17
2014,Bairnsdale East,24.3,41.1,0,38,1008.6,20
2014,Bairnsdale East,24.4,30,0,35,1008.5,24
2014,Bairnsdale East,18,30,0.4,41,1013.7,31
2014,Bairnsdale East,16.7,30.5,0,37,1013.6,30
2014,Bairnsdale East,18.9,34.1,0,37,1010.7,17
2014,Bairnsdale East,21.3,39.1,0,19,1007.8,22
2014,Bairnsdale East,28.5,38.4,0,13,1001.3,35
2014,Bairnsdale East,19.4,33.7,0,25,1006.3,15
2014,Bairnsdale East,19,33.8,0,20,1007.7,7
2014,Bairnsdale East,18.5,30.5,0,29,1014.3,19
2014,Bairnsdale East,15.5,32.6,0,19,1016.3,15
2014,Bairnsdale East,19.7,37.1,0,30,1013.4,19
2014,Bairnsdale East,26.6,38.1,0,35,1010.4,28
2014,Bairnsdale East,21,36.4,0.4,74,1009.7,20
2014,Bairnsdale East,20,37,0.2,59,1010.7,9
2014,Bairnsdale East,23.1,29.7,0,61,1008.8,17
2014,Bairnsdale East,16.2,27.8,5.6,48,1013.2,24
2014,Bairnsdale East,18,30.7,0,26,1015.8,13
2014,Bairnsdale East,19.4,30.4,0.6,58,1014.9,9
2014,Bairnsdale East,19.8,36.8,0,52,1008.8,19
2014,Bairnsdale East,19.2,31.3,0,26,1012,19
2014,Bairnsdale East,17.3,34.2,0,29,1013.3,15
2015,Bairnsdale East,19.8,38.4,0,35,1011.3,19
2015,Bairnsdale East,24,39.7,0,25,1012.3,22
2015,Bairnsdale East,21.6,36.9,0,44,1016,19
2015,Bairnsdale East,26.3,37.1,0,41,1013.5,22
2015,Bairnsdale East,20.9,28.1,1,76,1014.2,22
2015,Bairnsdale East,21.1,35.6,0,59,1016.3,17
2015,Bairnsdale East,23.6,36.3,0,40,1015.5,20
2015,Bairnsdale East,24,38.1,0.2,26,1012.1,13
2015,Bairnsdale East,23.4,37.5,0,27,1007.1,26
2015,Bairnsdale East,23.9,25.3,0.2,70,1007.1,13
2015,Bairnsdale East,20.4,25.2,39,96,1008.7,20
2015,Bairnsdale East,20.4,24.7,15.2,92,1008.7,17
2015,Bairnsdale East,21.1,29.5,1,82,1004.2,24
2015,Bairnsdale East,19.3,22.4,2.4,75,1005.2,13
2015,Bairnsdale East,15.9,28.1,0,72,1008.4,17
2015,Bairnsdale East,15,30.4,0,43,1011,11
2015,Bairnsdale East,18.7,32.5,0,32,1010.8,13
2015,Bairnsdale East,17.2,32,0,32,1012.8,13
2015,Bairnsdale East,16.5,31.6,0,33,1010.6,11
2015,Bairnsdale East,19.2,33.1,0,57,1006.1,26
2015,Bairnsdale East,23.3,31.9,0,54,1004.7,24
2015,Bairnsdale East,22,33.6,0,61,1009.5,22
2015,Bairnsdale East,23.3,35.6,0,43,1007.3,17
2015,Bairnsdale East,24.2,36.3,0,53,1005.8,19
2015,Bairnsdale East,20.3,32.7,1.8,42,1006.3,20
2015,Bairnsdale East,17.1,30.2,0,23,1010.7,17
2015,Bairnsdale East,16,31.7,0,36,1008.5,17
2015,Bairnsdale East,18,30.9,0,63,1008.6,17
2015,Bairnsdale East,16.6,30.5,0.6,53,1012,17
2015,Bairnsdale East,17,30.5,0,31,1009.7,7
2015,Bairnsdale East,14,29.8,0,28,1009.4,11
2015,Bairnsdale East,15.9,30.9,0,32,1008.7,7
2015,Bairnsdale East,16.1,30.8,0,40,1010.7,17
2015,Bairnsdale East,18.8,31.3,8.2,56,1016.8,22
2015,Bairnsdale East,18.3,33.5,0,22,1012.9,11
2015,Bairnsdale East,20.5,34,0,40,1016.4,31
2015,Bairnsdale East,21,33.6,0,47,1022.6,26
2015,Bairnsdale East,20.5,35.1,0,40,1021.3,22
2015,Bairnsdale East,22.6,39.5,0,27,1018.9,15
2015,Bairnsdale East,24.3,40.3,0,24,1017.1,9
2015,Bairnsdale East,25.5,37.8,0,29,1017.3,30
2015,Bairnsdale East,26.1,36.1,0,42,1018.6,20
2015,Bairnsdale East,23.1,35.1,0,54,1018.8,9
2015,Bairnsdale East,20.9,35.6,0,56,1018.7,17
2015,Bairnsdale East,22.3,36.6,0,48,1019.1,20
2015,Bairnsdale East,20.6,39.3,0.2,47,1014.6,17
2015,Bairnsdale East,24,39.3,0,38,1012.5,17
2015,Bairnsdale East,22.4,34.3,0.2,40,1013.1,13
2015,Bairnsdale East,20.7,31.5,6.2,65,1014.8,15
2015,Bairnsdale East,21.9,32.3,0,47,1015.5,19
2015,Bairnsdale East,22,31.5,0.4,65,1013.4,17
2015,Bairnsdale East,21.3,34.5,1.8,66,1011.8,13
2015,Bairnsdale East,22.5,36.2,0,56,1012,22
2015,Bairnsdale East,24.5,37.9,0,52,1012,20
